datetime,open,high,low,close
2025-01-17 18:00:00,1.2217,1.2217,1.2161,1.2175
2025-01-17 19:00:00,1.2175,1.2197,1.2175,1.219
2025-01-17 20:00:00,1.219,1.2201,1.2184,1.2196
2025-01-17 21:00:00,1.2197,1.2208,1.2196,1.2199
2025-01-17 22:00:00,1.2199,1.2217,1.2193,1.2197
2025-01-17 23:00:00,1.2196,1.2199,1.2182,1.2187
2025-01-18 00:00:00,1.2188,1.2195,1.2176,1.2182
2025-01-18 01:00:00,1.2182,1.2198,1.2161,1.2195
2025-01-18 02:00:00,1.2194,1.2228,1.2191,1.2198
2025-01-18 03:00:00,1.2197,1.2199,1.2176,1.2178
2025-01-18 04:00:00,1.2179,1.2182,1.2168,1.2174
2025-01-18 05:00:00,1.2173,1.2187,1.2166,1.2175
2025-01-18 06:00:00,1.2174,1.218,1.2165,1.2168
2025-01-18 07:00:00,1.2168,1.2175,1.2165,1.2171
2025-01-18 08:00:00,1.217,1.2171,1.2166,1.2168
2025-01-20 09:00:00,1.2178,1.218,1.2172,1.2177
2025-01-20 10:00:00,1.2176,1.2176,1.2161,1.2175
2025-01-20 11:00:00,1.2176,1.2186,1.2175,1.2185
2025-01-20 12:00:00,1.2184,1.2195,1.2176,1.2193
2025-01-20 13:00:00,1.2193,1.2195,1.2186,1.2194
2025-01-20 14:00:00,1.2193,1.2205,1.2193,1.2205
2025-01-20 15:00:00,1.2205,1.2207,1.2201,1.2206
2025-01-20 16:00:00,1.2208,1.2216,1.2205,1.221
2025-01-20 17:00:00,1.2211,1.2222,1.2203,1.2216
2025-01-20 18:00:00,1.2216,1.2219,1.2208,1.2216
2025-01-20 19:00:00,1.2216,1.222,1.2189,1.2194
2025-01-20 20:00:00,1.2193,1.2197,1.2166,1.2178
2025-01-20 21:00:00,1.2178,1.2195,1.2178,1.219
2025-01-20 22:00:00,1.2191,1.2208,1.219,1.2206
2025-01-20 23:00:00,1.2207,1.2207,1.2188,1.2199
2025-01-21 00:00:00,1.2199,1.2299,1.2184,1.2298
2025-01-21 01:00:00,1.2298,1.2327,1.2275,1.2306
2025-01-21 02:00:00,1.2304,1.2317,1.2274,1.2293
2025-01-21 03:00:00,1.2292,1.2304,1.2287,1.2296
2025-01-21 04:00:00,1.2295,1.2304,1.2256,1.2282
2025-01-21 05:00:00,1.2281,1.2306,1.2279,1.2306
2025-01-21 06:00:00,1.2306,1.2339,1.23,1.2336
2025-01-21 07:00:00,1.2336,1.2344,1.2324,1.2329
2025-01-21 08:00:00,1.2327,1.2331,1.2319,1.2327
2025-01-21 09:00:00,1.2328,1.233,1.2321,1.2326
2025-01-21 10:00:00,1.2325,1.2338,1.2321,1.2332
2025-01-21 11:00:00,1.2332,1.2346,1.2249,1.226
2025-01-21 12:00:00,1.226,1.2305,1.2253,1.2276
2025-01-21 13:00:00,1.2275,1.2295,1.2274,1.229
2025-01-21 14:00:00,1.229,1.2312,1.229,1.2295
2025-01-21 15:00:00,1.2296,1.2309,1.2292,1.2298
2025-01-21 16:00:00,1.2299,1.2302,1.2273,1.2277
2025-01-21 17:00:00,1.2276,1.2279,1.226,1.2264
2025-01-21 18:00:00,1.2262,1.2287,1.2255,1.2268
2025-01-21 19:00:00,1.2267,1.227,1.2247,1.2258
2025-01-21 20:00:00,1.2257,1.226,1.2235,1.2249
2025-01-21 21:00:00,1.2249,1.2257,1.2243,1.2249
2025-01-21 22:00:00,1.2249,1.2251,1.223,1.2236
2025-01-21 23:00:00,1.2237,1.2252,1.2233,1.2245
2025-01-22 00:00:00,1.2245,1.2281,1.2243,1.2278
2025-01-22 01:00:00,1.228,1.2296,1.2271,1.2281
2025-01-22 02:00:00,1.2281,1.2313,1.2271,1.23
2025-01-22 03:00:00,1.23,1.2332,1.2297,1.233
2025-01-22 04:00:00,1.233,1.2336,1.2326,1.2326
2025-01-22 05:00:00,1.2325,1.234,1.2325,1.2336
2025-01-22 06:00:00,1.2336,1.2338,1.2323,1.2327
2025-01-22 07:00:00,1.2327,1.234,1.2325,1.234
2025-01-22 08:00:00,1.2339,1.2361,1.2338,1.2353
2025-01-22 09:00:00,1.2354,1.2355,1.2344,1.2351
2025-01-22 10:00:00,1.2351,1.2352,1.2323,1.2338
2025-01-22 11:00:00,1.2338,1.2354,1.2336,1.2351
2025-01-22 12:00:00,1.2351,1.2351,1.233,1.2333
2025-01-22 13:00:00,1.2332,1.234,1.2329,1.2337
2025-01-22 14:00:00,1.2337,1.2338,1.233,1.2332
2025-01-22 15:00:00,1.2332,1.2347,1.2332,1.2344
2025-01-22 16:00:00,1.2344,1.2349,1.2332,1.2344
2025-01-22 17:00:00,1.2343,1.2344,1.2316,1.2322
2025-01-22 18:00:00,1.2322,1.2328,1.2312,1.2319
2025-01-22 19:00:00,1.2319,1.234,1.2317,1.2339
2025-01-22 20:00:00,1.234,1.2365,1.2338,1.2365
2025-01-22 21:00:00,1.2365,1.2377,1.2359,1.2368
2025-01-22 22:00:00,1.2367,1.2373,1.2353,1.2357
2025-01-22 23:00:00,1.2356,1.2359,1.2345,1.2356
2025-01-23 00:00:00,1.2357,1.2369,1.2336,1.2346
2025-01-23 01:00:00,1.2345,1.2349,1.2329,1.2336
2025-01-23 02:00:00,1.2337,1.2337,1.2313,1.2319
2025-01-23 03:00:00,1.2318,1.2326,1.2308,1.2323
2025-01-23 04:00:00,1.2322,1.2323,1.2314,1.2322
2025-01-23 05:00:00,1.2321,1.233,1.2316,1.2324
2025-01-23 06:00:00,1.2323,1.2332,1.2322,1.2326
2025-01-23 07:00:00,1.2325,1.233,1.2316,1.2317
2025-01-23 08:00:00,1.2317,1.2319,1.2314,1.2314
2025-01-23 09:00:00,1.2316,1.2321,1.2312,1.2313
2025-01-23 10:00:00,1.2315,1.2316,1.2308,1.2314
2025-01-23 11:00:00,1.2314,1.232,1.2312,1.2315
2025-01-23 12:00:00,1.2316,1.2324,1.2309,1.2311
2025-01-23 13:00:00,1.2311,1.2312,1.2302,1.231
2025-01-23 14:00:00,1.2309,1.2316,1.2308,1.2315
2025-01-23 15:00:00,1.2315,1.2321,1.2315,1.232
2025-01-23 16:00:00,1.232,1.2321,1.2312,1.2312
2025-01-23 17:00:00,1.2312,1.2321,1.2309,1.2309
2025-01-23 18:00:00,1.2309,1.2312,1.2295,1.2305
2025-01-23 19:00:00,1.2304,1.2306,1.2294,1.2296
2025-01-23 20:00:00,1.2297,1.2321,1.2296,1.2317
2025-01-23 21:00:00,1.2317,1.2331,1.2315,1.2321
2025-01-23 22:00:00,1.2321,1.2329,1.2306,1.2309
2025-01-23 23:00:00,1.2308,1.2317,1.23,1.2316
2025-01-24 00:00:00,1.2317,1.2331,1.2309,1.2323
2025-01-24 01:00:00,1.2323,1.2336,1.2317,1.233
2025-01-24 02:00:00,1.233,1.2331,1.2311,1.2323
2025-01-24 03:00:00,1.2323,1.2361,1.23,1.2346
2025-01-24 04:00:00,1.2346,1.2376,1.2342,1.2373
2025-01-24 05:00:00,1.2372,1.2373,1.2356,1.2359
2025-01-24 06:00:00,1.2359,1.2365,1.2355,1.2359
2025-01-24 07:00:00,1.2359,1.2365,1.2353,1.2355
2025-01-24 08:00:00,1.2354,1.2357,1.2346,1.2353
2025-01-24 09:00:00,1.2355,1.2359,1.2351,1.2353
2025-01-24 10:00:00,1.2352,1.2355,1.2349,1.2354
2025-01-24 11:00:00,1.2354,1.2359,1.2349,1.2357
2025-01-24 12:00:00,1.2357,1.2358,1.235,1.2355
2025-01-24 13:00:00,1.2356,1.2399,1.2355,1.2399
2025-01-24 14:00:00,1.2398,1.2405,1.2382,1.2393
2025-01-24 15:00:00,1.2393,1.24,1.2388,1.2393
2025-01-24 16:00:00,1.2394,1.2401,1.2386,1.24
2025-01-24 17:00:00,1.2401,1.2418,1.2397,1.2399
2025-01-24 18:00:00,1.2399,1.24,1.2377,1.2387
2025-01-24 19:00:00,1.2386,1.2412,1.2384,1.2405
2025-01-24 20:00:00,1.2405,1.2448,1.2403,1.2428
2025-01-24 21:00:00,1.2428,1.2436,1.2422,1.2431
2025-01-24 22:00:00,1.243,1.2433,1.2411,1.2415
2025-01-24 23:00:00,1.2414,1.2422,1.2401,1.241
2025-01-25 00:00:00,1.2409,1.2421,1.2402,1.2415
2025-01-25 01:00:00,1.2414,1.2449,1.241,1.2439
2025-01-25 02:00:00,1.2438,1.2485,1.2436,1.2483
2025-01-25 03:00:00,1.2483,1.2497,1.2481,1.2495
2025-01-25 04:00:00,1.2494,1.2502,1.2487,1.2489
2025-01-25 05:00:00,1.2488,1.2496,1.2479,1.2481
2025-01-25 06:00:00,1.2481,1.2485,1.2479,1.2483
2025-01-25 07:00:00,1.2483,1.2487,1.2478,1.2485
2025-01-25 08:00:00,1.2485,1.249,1.2481,1.2481
2025-01-27 09:00:00,1.2472,1.2475,1.247,1.2472
2025-01-27 10:00:00,1.2473,1.2473,1.2457,1.2458
2025-01-27 11:00:00,1.2458,1.2466,1.2453,1.2456
2025-01-27 12:00:00,1.2456,1.2464,1.2448,1.2449
